2899 un à                          l' un à côté de l'
2901 font aussi                     i(ls) font aussi le ménage ?
2903 nettoient une                  i(ls) nettoient une voiture ?
2908 alors on                       alors on retourne .
2927 bon alors                      bon alors on les range #
2927 alors on                       bon alors on les range #
2931 directement alors              la boîte directement alors .
2934 est une                        c' est une carte , oui
2943 donner à                      on pourrait donner à louis
2950 est aussi                      , il est aussi trop
2955 livres il                      pour les livres il est trop
2962 enlever alors                  vais l' enlever alors .
2967 fait exprès                   c' est fait exprès .
2972 puis après                    ça et puis après on
2972 après on                      et puis après on met
2973 bouton y                       voilà le bouton y reste toujours
2978 est un                         c' est un mouton .
2979 est un                         c' est un mouton behehe .
2981 as une                         , tu as une drôle
2987 après on                      non , après on les
2988 legos après                   quoi les legos après ?
3001 est agréable                  que c' est agréable si
3005 alors il                       alors il apprécie encore moins que
3009 jouer aussi                    je peux jouer aussi avec lui
3010 fais autre                     toi tu fais autre chose
3011 vent à                        fais du vent à louis
3013 vraiment une                   est pas vraiment une couverture
3017 louis elle                     avec louis elle bouge vite la
3028 fait avec                      qu' on fait avec ce
3035 prends autre                   tu prends autre chose marie .
3037 dessus ou                      lui mets dessus ou tu
3037 chercher autre                 tu vas chercher autre chose
3038 pas avec                       mais pas avec ça .
3040 faut essayer                   faut essayer avec le coussin ?
3040 essayer avec                   faut essayer avec le coussin ?
3050 alors on                       alors on va en chercher un
3050 chercher un                    va en chercher un autre
3051 chercher un                    va en chercher un autre
3053 et on                          pour marie et on va
3053 chercher un                    va en chercher un autre
3068 maintenant avec                faire quoi maintenant avec le
3069 est encore                     c' est encore un cadeau marie
3082 veut alors                     qu' i(l) veut alors !
3083 fait avec                      qu' il fait avec ?
3094 donner emballé                faut lui donner emballé marie
3095 sors à                        tu le sors à chaque
3096 fais un                        tu fais un beau cadeau ,
3096 puis après                    emballage et puis après tu
3098 louis en                       crois que louis en a
3102 fais une                       tu fais une maison toi ?
3103 donnes une                     tu lui donnes une # ,
3106 est un                         c' est un cadeau .
3110 lapin ou                       un petit lapin ou .
3124 donnes à                      tu lui donnes à manger ?
3129 pas où                        je sais pas où elle
3142 donner avec                    peux lui donner avec la
3147 haut y                         mais là haut y a pas
3148 pas où                        , j'sais pas où elle
3152 donner à                      peux lui donner à la
3154 ben oui                        ben oui , ma pitchoune .
3155 pas où                        ne sais pas où tu
3175 pris un                        t' as pris un paquet de
3176 donnes aussi                   m' en donnes aussi un
3184 lapin aussi                    et lapin aussi ?
3188 non y                          non y a pas besoin de
3189 peux éteindre                 tu peux éteindre .
3191 dehors il                      dehors il fait jour .
3214 et un                          et un gâteau d' anniversaire ?
3215 début y                       au début y a des biscuits
3221 dirait une                     ça on dirait une petite épicerie
3225 est une                        c' est une boulangerie .
3226 mais elle                      mais elle est fermée .
3227 alors il                       alors il est tout déçu hervé
3243 jouer après                   place pour jouer après .
3244 mais enfin                     mais enfin on peut bien le
3244 enfin on                       mais enfin on peut bien le
3244 laisser ouvert                 bien le laisser ouvert si
3249 mais il                        mais il a déjà une lampe
3260 est où                        alors c' est où la porte
3261 maison aussi                   finit la maison aussi ?
3266 fais attention                 , tu fais attention #
3269 très haut                     tu passes très haut ,
3271 ben oui                        ben oui , un peu .
3277 chambres alors                 a plusieurs chambres alors le
3278 est où                        marie elle est où ?
3282 maman i(ls)                    la grand maman i(ls) sont
3282 sont où                       maman i(ls) sont où ?
3286 bientôt y                     on va bientôt y retourner à
3286 retourner à                   bientôt y retourner à neuchâtel
3287 cousins et                     cousins et cousines .
3288 veux aller                     si tu veux aller les
3294 frein à                       mettre le frein à main
3304 veut aller                     elle veut aller tout là haut
3305 allez encore                   allez encore un p(e)tit coup d'
3317 en haut                        y a en haut ?
3326 grands ici                     est des grands ici .
3327 et y                           et y en a sur ton
3331 est au                         celui qui est au milieu
3338 fais attention                 tu fais attention marie parce que
3340 pas un                         c' est pas un râteau marie
3341 est une                        c' est une canne .
3348 pas exactement                 j'sais pas exactement où elles sont
3348 exactement où                 j'sais pas exactement où elles sont
3350 pas ici                        ne sont pas ici .
3353 as essayé                     , tu as essayé ?
3362 surtout avec                   surtout avec cette petite balle .
3367 doucement alors                tu vas doucement alors .
3371 ait un                         qu' on ait un peu
3377 veux aller                     marie tu veux aller au toilettes
3377 aller au                       tu veux aller au toilettes
3380 fait aujourd'hui               vous avez fait aujourd'hui avec
3394 en haut                        le prends en haut .
3397 alors on                       alors on le met à côté
3397 met à                         on le met à côté
3402 doucement avec                 doucement avec le bras .
3407 promener un                    # promener un p(e)tit peu avec
3409 veux un                        tu veux un petit salé ?
3416 pas ouverts                    ils sont pas ouverts les petits
3417 manger à                      quelqu'un vienne manger à la
3419 pas encore                     je sais pas encore .
3420 téléphoner une               on va téléphoner une fois à
3420 fois à                        téléphoner une fois à quelqu'un
3423 absolument oui                 oui , absolument oui .
3424 pas ouverts                    ne sont pas ouverts .
3429 pas encore                     je sais pas encore .
3434 jouer ici                      pas venir jouer ici ?
3435 jouer ici                      veux venir jouer ici avec
3437 fait alors                     qu' on fait alors ?
3441 construit une                  t' as construit une maison ?
3444 est un                         c' est un parasol .
3450 est une                        c' est une grand maman .
3452 alors on                       alors on va le chercher .
3453 est où                        il est où ?
3466 maman à                       mettre grand maman à côté
3467 est assise                     oui elle est assise .
3470 mamans et                      papas des mamans et des
3494 et après                      et après y a une (pe)tite
3494 après y                       et après y a une (pe)tite
3502 p(u)is on                      et p(u)is on a une p(e)tite
3504 est une                        ça c' est une p(e)tite dame
3505 pas une                        y a pas une p(e)tite fille
3508 veux aussi                     tu veux aussi mettre l' éléphant
3536 gens on                        viennent les gens on peut
3538 christian et                   peut-être appeler christian et gloria
3539 christian et                   connais pas christian et gloria
3540 bien ils                       eh bien ils sont chez eux
3540 chez eux                       ils sont chez eux .
3544 seras au                       quand tu seras au lit
3546 vas où                        tu vas où ?
3575 christian et                   christian et gloria ?
3579 pas appeler                    on va pas appeler ce
3594 ben alors                      ben alors tant pis .
3604 fois oui                       été une fois oui ,
3605 est un                         c' est un moulin marie .
3609 dirait une                     on dirait une carte .
3611 christian ou                   &christ christian ou christiane ?
3616 papier autour                  plier le papier autour ?
3622 autrement elle                 autrement elle va bouger .
3636 puis encore                    puis encore une fois ici .
3636 fois ici                       encore une fois ici .
3649 peux ouvrir                    j(e) peux ouvrir ?
3681 depuis ici                     depuis ici je vois .
3684 est où                        elle est où ta carte postale
3692 voulais attendre               , j(e) voulais attendre la
3697 colorier aussi                 est pour colorier aussi .
3706 était où                     mais c' était où cette photo
3707 pris où                       l' a pris où ?
3710 était en                      c' était en vacances .
3723 est à                         oui c' est à toi .
3739 avait envoyé                  qui l' avait envoyé en
3740 était en                      quand elle était en voyage .
3745 maintenant on                  sais marie maintenant on va
3747 bientôt aller                 tu vas bientôt aller au
3747 aller au                       vas bientôt aller au lit
3759 crayon on                      le crayon on va le mettre
3778 après on                      oui après on mettra la lampe
3795 casser après                  tu vas casser après .
3800 comment il                     te souviens comment il s'
3807 avis elles                     à mon avis elles sont dans
3810 veux encore                    tu veux encore faire le petit
3814 peux essayer                   tu peux essayer là dessus ,
3819 est un                         ça c' est un chat
3819 chat oui                       est un chat oui .
3840 faut aussi                     il faut aussi que je me
3848 veux en                        que tu veux en faire
3850 confettis avec                 pas de confettis avec le
3857 pas ouvrir                     ne peut pas ouvrir .
3859 pas ouvrir                     ne peut pas ouvrir .
3861 pas ouvrir                     ne peut pas ouvrir ,
3865 pas ouvrir                     ne peut pas ouvrir des
3877 dépend où                    ça dépend où par terre .
3878 tapis oui                      sur le tapis oui .
3880 marques avec                   faire des marques avec le
3881 faut ôter                     il faut ôter ton chausson ?
3884 veux aller                     tu veux aller chercher une culotte
3884 chercher une                   veux aller chercher une culotte
3885 veux essayer                   tu veux essayer de mettre la
3897 veux aller                     tu veux aller dans le lit
3904 veux aller                     tu veux aller dans ta chambre
3905 cherches à                    que tu cherches à faire
3910 alors attends                  alors attends !
3914 met où                        on le met où marie ?
3936 dessous aussi                  je vienne dessous aussi .
3937 dessous aussi                  je suis dessous aussi .
3942 peux aller                     tu peux aller en chercher .
3942 aller en                       tu peux aller en chercher .
3953 viens ici                      tu viens ici ?
3964 faut aussi                     il faut aussi le poser celui
3972 grand avec                     le grand avec les animaux là
3974 es un                          tu es un petit peu tendue
3988 sont en                        ils sont en train de manger
3991 lapins et                      les petits lapins et oscar
3991 et oscar                       petits lapins et oscar le
4002 reçoit un                     lapin qui reçoit un cadeau
4004 est un                         c' est un cadeau , oui
4005 reçoit une                    il reçoit une montgolfière .
4015 vois un                        moi je vois un petit chat
4015 chat ici                       un petit chat ici .
4016 pas un                         c' est pas un petit chat
4017 vraiment à                    ça ressemble vraiment à un
4029 avait une                      il y avait une grande vache
4030 est en                         qu' elle est en train
4031 veux aller                     tu veux aller voir ?
4051 fait un                        ça te fait un chapeau ,
4052 est un                         c' est un peu encombrant comme
4053 veux essayer                   tu veux essayer de passer dessous
4054 est un                         avis tu est un petit
4055 es un                          tu es un peu grande pour
4066 moucher aussi                  veux te moucher aussi ?
4067 alors attends                  oui , alors attends !
4068 prends un                      prends un mouchoir !
4081 confettis avec                 faire des confettis avec le
4084 après il                      après il y en aura partout
4085 veux un                        tu en veux un autre ?
4091 confettis avec                 par des confettis avec la
4101 est un                         là c' est un petit poisson
4102 veux aussi                     tu veux aussi colorier ?
4121 maintenant on                  marie , maintenant on va aller
4121 aller à                       on va aller à la
4123 dernier alors                  le dernier alors .
4128 dessiner avec                  peux pas dessiner avec #
4152 pas en                         le réduis pas en poussière
4156 pas une                        c' est pas une #
4158 soit ici                       qu' il soit ici .
4160 doit être                     , il doit être .
4161 doit être                     il doit être au salon .
4172 lapin et                       avec le lapin et les canards
4175 est un                         oui c' est un petit chat
4179 est aussi                      ça c' est aussi un petit
4182 est une                        ça c' est une vache
4190 est un                         , c' est un chien
