1      n' monte                      nm§t                         non on n' monte pas
816    l' armoire                    laR-mwaR                     est dans l' armoire .
818    n' fais                       nfE                          mais je n' fais pas
818    l' aspirateur                 las-pi-Ra-t9R                pas aller l' aspirateur maint'
821    qu' on                        k§                           demain qu' on f' ra aller
821    l' aspirateur                 las-pi-Ra-t9R                ra aller l' aspirateur .
830    n' comprends                  nk§-pR@                      je n' comprends pas .
831    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
831    qu' i'                        ki                           qu' est-ce qu' i' y a
833    c' est                        se                           c' est ca qu' tu dis
833    qu' tu                        kty                          est ca qu' tu dis
836    table et                      ta ble                        sur la table et une
836    l' etagere                    le-ta-ZER                    fleur sur l' etagere hein
837    l' eta                        l#                           fleurs sur l' eta .
838    l' etagere                    le-ta-ZER                    aussi sur l' etagere ?
841    les as                        le za                         oho tu les as des les
847    qu' i'                        ki                           tu vois qu' i' y en
