5308 vas y                         vaz i
5309 vas y                         vaz i
5313 froid à                       fRwat a
5326 tout à                        tut a
5327 tout à                        tut a
5333 beaucoup au                   bo-kup o
5337 un an                         1n @
5342 un air                        1n ER
5358 est une                       et yn
5358 est écrit                     et e-kRi
5369 son expérience                s§n Ek-spe-Rj@s
5369 on était                      §n e-tE
5379 dans un                       d@z 1
5379 tout autour                   tut o-tuR
5382 en avait                      @n a-vE
5383 nous a                        nuz a
5385 quand il                      k@t il
5386 nous a                        nuz a
5386 nous a                        nuz a
5404 est un                        et 1
5408 comment il                    ko-m@t il
5408 les appelle                   lez a-pEl
5422 en a                          @n a
5422 un autre                      1n otR
5426 fait il                       fEt il
5431 dans une                      d@z yn
5433 son attends                   s§n a-t@
5440 tout habillé                  tut a-bi-je
5441 est arrivé                    et a-Ri-ve
5446 peut être                     p2t EtR
5454 peut être                     p2t EtR
5458 est un                        et 1
5459 un autre                      1n otR
5462 est une                       et yn
5464 est une                       et yn
5476 en a                          @n a
5477 peut être                     p2t EtR
5478 nous as                       nuz a
5480 peut être                     p2t EtR
5481 en as                         @n a
5482 on arrête                     §n a-REt
5496 nous as                       nuz a
5497 très intéressantes            tREz 5-te-RE-s@t
5498 on a                          §n a
5501 est un                        et 1
5505 blonds alors                  bl§z a-lOR
5512 est un                        et 1
5514 quand elles                   k@t El
5515 quand elles                   k@t El
5515 quand elles                   k@t El
5515 elles avalent                 Elz a-val
5517 elles avalent                 Elz a-val
5519 peut être                     p2t EtR
5532 on arrive                     §n a-Riv
5533 est à                         et a
5535 est un                        et 1
5541 est une                       et yn
5549 est un                        et 1
5549 est un                        et 1
5552 tout à                        tut a
5563 tout à                        tut a
5625 en a                          @n a
5628 est un                        et 1
5633 ont un                        §t 1
5636 est il                        et il
5648 est une                       et yn
5648 des herbes                    dez ERb
5651 est une                       et yn
5658 son oeil                      s§n 9j
5659 son oeil                      s§n 9j
5660 un oeil                       1n 9j
5661 en as                         @n a
5661 un autre                      1n otR
5677 comment il                    ko-m@t il
5686 est une                       et yn
5689 ton avis                      t§n a-vi
5690 est un                        et 1
5698 en a                          @n a
5699 les avec                      lez a-vEk
5703 plus un                       plyz 1
5713 aux à                         oz a
5731 peut être                     p2t EtR
5738 est un                        et 1
5739 est un                        et 1
5748 vas y                         vaz i
5769 les hippocampes               lez i-po-k@p
5772 est un                        et 1
5774 on arrête                     §n a-REt
5779 est un                        et 1
5782 est un                        et 1
