5726 est en                        et @
5737 tout en                       tut @
5739 tout en                       tut @
5740 tout en                       tut @
5756 les a                         lez a
5761 dans un                       d@z 1
5763 on arrête                     §n a-REt
5769 peut être                     p2t EtR
5771 est une                       et yn
5773 en as                         @n a
5798 est elle                      et El
5810 est un                        et 1
5811 est il                        et il
5818 est à                         et a
5838 tout à                        tut a
5846 tout à                        tut a
5849 bien entendu                  bj5n @-t@-dy
5852 est elle                      et El
5855 sont elles                    s§t El
5867 un autre                      1n otR
5871 des hallucinations            dez a-ly-si-na-sj§
5875 est ouverte                   et u-vERt
5876 peut être                     p2t EtR
5886 bien alors                    bj5n a-lOR
5886 on ira                        §n i-Ra
5896 en a                          @n a
5896 des oranges                   dez o-R@Z
5898 en a                          @n a
5899 en a                          @n a
5900 en a                          @n a
5912 ils aiment                    ilz Em
5914 en avait                      @n a-vE
5916 petit éléphant                p°-tit e-le-f@
5918 petit éléphant                p°-tit e-le-f@
5920 petit éléphant                p°-tit e-le-f@
5924 bien un                       bj5n 1
5924 petit éléphant                p°-tit e-le-f@
5941 dans une                      d@z yn
5945 bien elle                     bj5n El
5967 vas y                         vaz i
5990 est arrivée                   et a-Ri-ve
5996 est arrivée                   et a-Ri-ve
6000 est à                         et a
6032 on est                        §n e
6033 en as                         @n a
6047 en aller                      @n a-le
6052 peut être                     p2t EtR
6062 est un                        et 1
6068 on a                          §n a
6085 plus il                       plyz il
6088 est un                        et 1
6101 est un                        et 1
6110 peut être                     p2t EtR
6113 en a                          @n a
6113 est apparue                   et a-pa-Ry
6114 on est                        §n e
6114 est en                        et @
6119 ses affaires                  sez a-fER
6124 tout à                        tut a
6127 en avait                      @n a-vE
6134 un hélicoptère                1n e-li-kOp-tER
6134 un hélicoptère                1n e-li-kOp-tER
6135 on a                          §n a
6139 ses histoires                 sez is-twaR
6151 tout à                        tut a
6152 un amalgame                   1n a-mal-gam
6156 plus à                        plyz a
6176 on avait                      §n a-vE
6178 on était                      §n e-tE
6187 on en                         §n @
6187 en a                          @n a
6192 est apparu                    et a-pa-Ry
6195 en a                          @n a
6198 ton hélicoptère               t§n e-li-kOp-tER
6200 en avait                      @n a-vE
6225 ils étaient                   ilz e-tE
6227 des herbes                    dez ERb
6229 tout à                        tut a
6246 tout est                      tut e
6259 bien aussi                    bj5n o-si
6273 on appelle                    §n a-pEl
6276 est une                       et yn
6292 on est                        §n e
6292 est en                        et @
6294 des étagères                  dez e-ta-ZER
6300 tout à                        tut a
6306 nous aider                    nuz e-de
6321 deux à                        d2z a
