7 dis à                         dis à mamy !
3114 fait à                        tu as fait à l'
3122 raconter à                    viens raconter à maman !
3126 comment elle                   comment elle s' appelle ?
3133 pas un                         ) est pas un bon
3135 et elle                        et elle est gentille , alors
3149 viens un                       viens un petit peu près de
3152 jouer avec                     viens jouer avec nous !
3153 jouer avec                     veux pas jouer avec #
3154 jouer avec                     veux pas jouer avec moi
3155 pas envie                      as tu pas envie ?
3178 fait avec                      qu' il fait avec les
3181 carton et                      mouiller le carton et après
3181 et après                      le carton et après tu
3185 ben oui                        ah ben oui mais c(e) est
3186 affaires une                   ranger ses affaires une fois
3193 pas allée                     n' es pas allée jouer
3204 pas envie                      n' avais pas envie et
3205 jouer avec                     tu voulais jouer avec le
3207 était un                      c(e) était un gros ballon ,
3207 avais à                       que tu avais à l'
3209 était un                      c(e) était un gros ballon ?
3211 était un                      , c(e) était un gros
3212 est un                         c(e) est un petit ?
3213 est un                         c(e) est un gros ballon ?
3224 est un                         c(e) est un ballon en quoi
3224 ballon en                      est un ballon en quoi
3225 ballon en                      un ballon en tissu ?
3228 ballon avec                    peu le ballon avec les
3233 mais il                        mais il faut chercher après .
3233 chercher après                il faut chercher après .
3242 est un                         ou c(e) est un ballon comme
3245 est un                         c(e) est un ballon comment ?
3246 est un                         ah c(e) est un ballon en
3246 ballon en                      est un ballon en mousse
3248 donnes à                      que tu donnes à luc
3248 est un                         , c(e) est un ballon
3248 ballon en                      est un ballon en mousse
3254 bout aujourd'                  mettre à bout aujourd' hui
3256 pas attention                  ne fais pas attention .
3260 pas une                        n' est pas une excuse
3263 est un                         , c(e) est un appareil
3264 pas à                         n' est pas à mamy
3264 pas à                         n' as pas à frapper
3267 viens et                       , je viens et que
3275 mesures aujourd'               passes les mesures aujourd' hui
3291 attention à                   dois faire attention à ce
3292 vois encore                    je te vois encore faire
3294 intérêt à                   léa a intérêt à se
3295 pas un                         n' est pas un accident
3298 et arrête                     et arrête de prendre ton genre
3305 comment il                     comment il ne faut pas dire
3307 est assise                     , elle est assise .
3313 chiens et                      les petits chiens et daddy qui
3313 est en                         daddy qui est en train
3318 comment est-ce                 comment est-ce qu' on appelle l'
3318 dont il                        l' outil dont il se
3319 est une                        c(e) est une bêche .
