7 dis à                         dis à mamy !
3321 et il                          et il a une brouette .
3335 jouer avec                     il peut jouer avec les livres
3337 fait avec                      qu' il fait avec les
3340 pas encore                     ne sait pas encore lire
3348 et où                         et où est-ce qu' on apprend
3348 apprend à                     qu' on apprend à lire
3349 apprend à                     qu' on apprend à raconter
3362 aller acheter                  vas tu aller acheter du boudin
3363 et où                         et où vas tu aller acheter
3363 aller acheter                  vas tu aller acheter du
3369 prends un                      prends un peu ton sac pour
3382 vas avoir                      tu vas avoir un gros nez
3391 rien à                        y a rien à voir
3401 hein oui                       génial , hein oui ?
3402 est un                         c(e) est un temps pour les
3409 bois un                        bois un petit coup d' eau
3419 hein oui                       luc , hein oui ?
3422 t il                           quoi a t il travaillé
3432 ben oui                        ben oui mais quand tu écartes
3432 jambes et                      écartes les jambes et que
3432 demandes à                    que tu demandes à luc
3432 passer en                      luc de passer en dessous
3432 est un                         , c(e) est un jeu
3435 joues à                       tu joues à ce jeu là
3437 préparer à                   vas nous préparer à manger
3440 maman a                        maman a faim et moi aussi
