3028 attends on                     attends on va y allez doucement
3040 allez on                       allez on ferme hop .
3044 fleurs encore                  est des fleurs encore .
3074 avons un                       ensuite nous avons un arbre .
3090 fais exprès                   tu fais exprès .
3091 fais exprès                   tu le fais exprès chipie .
3094 alors houp                     alors houp .
3098 maman elle                     maman elle sait mieux le faire
3105 ouais oh                       ouais oh regarde le ch(e)val .
3112 alors et                       alors et là regarde .
3122 viens ici                      viens ici nine .
3123 dors anaïs                    tu dors anaïs ?
3128 et en                          et en plus tu rampes .
3129 ben oui                        oh ben oui .
3133 vas au                         tu vas au dodo ?
3154 toucher à                     petite pour toucher à ça
3169 ouais elle                     ouais elle est coincée dedans .
3176 est où                        bleue elle est où ?
3191 veux aller                     tu veux aller te promener avec
3191 promener avec                  aller te promener avec ?
3200 veux un                        tu veux un livre ?
3215 et il                          et il est en miette .
3227 viens assieds                  viens assieds toi .
3232 mets ici                       tu le mets ici ?
3236 donnes un                      tu donnes un poisson ?
3237 donnes un                      tu me donnes un poisson ?
3238 chercher hein                  viens le chercher hein ?
3241 beaux hein                     ils sont beaux hein .
3257 met une                        on lui met une laisse au
3259 vas aller                      tu vas aller le promener ?
3262 attaches avec                  l' a attaches avec une
3271 veux anaïs                    que tu veux anaïs .
3272 esprit enfin                   travers l' esprit enfin .
3278 ben il                         oh ben il est où le
3278 est où                        ben il est où le
3279 est où                        il est où ?
3286 mets oh                        tu mets oh * doucement .
3296 fais un                        tu m(e) fais un p(e)tit sourire
3300 tiens anaïs                   tiens anaïs regarde !
3302 sont un                        ils sont un peu hauts les
3312 es en                          mais t(u) es en gros
3313 es en                          t(u) es en gros plan là
3314 reculer un                     ouais faut reculer un peu
3329 allez on                       hop , allez on rentre !
3332 veux écouter                  tu veux écouter ?
3342 comment on                     as vu comment on bougeait
3348 reculer un                     j(e) vais reculer un peu parce
3361 ben alors                      u ben alors oh ben alors
3361 alors oh                       u ben alors oh ben alors
3361 ben alors                      alors oh ben alors !
3362 très haut                     est pas très haut !
3369 dirait un                      on dirait un p(e)tit bonhomme .
3371 veux écouter                  encore tu veux écouter ?
3384 attention hein                 attention hein !
3386 attention à                   attention à tes pas .
3394 jouer avec                     tu veux jouer avec ça ?
3395 as un                          t(u) en as un autre là
3396 vois y                         tu vois y en a d'
3404 alors attention                alors attention parce que (il) y
3412 maint(e)nant hein              arrives bien maint(e)nant hein !
3413 es une                         t(u) es une pro(fessionnelle) !
3433 sais on                        , t(u) sais on l(e)
3447 veux encore                    tu veux encore une fois ?
3448 allez encore                   allez encore une fois et puis
3448 fois et                        encore une fois et puis
3448 puis après                    fois et puis après on
3448 après on                      et puis après on va
3448 poser hein                     va l(e) poser hein !
3452 et on                          là , et on l(e)
3456 ben y                          ben y en a p(l)us .
3464 joues avec                     tu joues avec les pieds ?
3468 vois y                         tu vois y en a un
3476 trouver aut(r)e                veux pas trouver aut(r)e chose
3498 comment elle                   comment elle fait la poule ?
3524 chameaux et                    est les chameaux et le
3550 veux un                        tu veux un &li autre livre
3562 court après                   , i(l) court après l(e)
3569 comment i(l)                   comment i(l) fait le bourdon ?
3571 gaston i(l)                    c' est gaston i(l) va su(r)
3585 comment i(l)                   comment i(l) fait ?
3594 comment elle                   comment elle fait ?
3606 veux attraper                  tu veux attraper l(e) nez !
3607 veux aller                     tu veux aller attraper l(e) nez
3607 aller attraper                 tu veux aller attraper l(e) nez
3608 veux attraper                  tu veux attraper mon bout d(e)
3613 veux attraper                  tu veux attraper mon bout d(e)
3619 pas hein                       le connais pas hein !
3621 et en                          et en plus il est en
3628 bébés à                     est les bébés à côté
3631 canard avec                    le canard avec , hou là
3631 bébés aussi                  tous p(e)tits bébés aussi !
3636 allez on                       allez on regarde .
3642 mais il                        ouais , mais il est bien
3643 parler italien                 déjà à parler italien ,
3675 repars avec                    tu repars avec ton livre ?
3676 mais on                        mais on va où ?
3677 alors attends                  là alors attends ?
3681 était en                      oups c' était en zoom
3686 tiens il                       et l(e) tiens il est où
3686 est où                        tiens il est où d(e)
3687 nez à                         est ton nez à toi
3688 ouais il                       ouais il est là !
3700 cas i(l)                       en tout cas i(l) t(e) plaît
3714 fais à                        (que) tu fais à quatre
3718 loup et                        est le loup et puis
3721 comment elle                   comment elle fait la chouette ?
3729 ben oui                        ben oui pour la lecture !
3737 pas en                         elle tient pas en place c(et)te
3745 ben elle                       ben elle préfère les animaux !
3746 et ouais                       et ouais !
3753 pas assise                     , j'suis pas assise moi
3756 et ensuite                     et ensuite (il) y a ,
3757 est où                        elle est où la chouette .
3762 aller ouais                    aller ouais !
3771 décides anaïs                que tu décides anaïs ?
3774 après hein                    est pensé après hein !
3775 ouais y                        ouais y a le truc .
3805 sont où                       elles sont où les &li oreilles
3817 ben alors                      ben alors , tu t' écoutes
3820 pas elle                       elle dort pas elle reste
3820 en haut                        elle reste en haut .
3839 pas un                         c' est pas un serre
3844 vient avec                     caméra qui vient avec !
3856 est où                        il est où ce livre !
3869 est où                        elle est où kanel ?
3870 est où                        elle est où kanel ?
3889 mais avant                     le donne mais avant tu
3895 vas où                        tu vas où ?
3904 avions anaïs                  vu le avions anaïs ?
3927 pas assise                     attends j'suis pas assise .
3980 aller on                       aller on tourne !
3987 camions et                     est les camions et y
3987 et y                           les camions et y a
3989 vois il                        tu vois il est tout rouge
3990 et ensuite                     et ensuite !
3993 dis au                         tu dis au r(e)voir ?
3995 dit oui                        on dit oui ?
4002 peut aller                     on peut aller s(e) promener avec
4002 promener avec                  aller s(e) promener avec le
4004 hein aller                     hein aller * ?
4008 et hop                         et hop là !
4011 p(e)tit avion                  est le p(e)tit avion !
4020 apportes un                    en &li apportes un autre
4040 veux attraper                  tu veux attraper ?
4042 est où                        elle est où ?
4046 arracher hein                  veux les arracher hein !
4048 vais en                        alors j(e) vais en chercher un
4048 chercher un                    vais en chercher un autre
4049 bon euh                        c(el)ui là bon euh y a
4049 retirer euh                    chose à retirer euh donc
4067 faut emmener                   là il faut emmener .
4074 avait une                      , qui avait une grande
4077 aller on                       aller on tourne .
4081 dents hein                     la les dents hein !
4082 dents et                       a les dents et tout
4082 tout hein                      dents et tout hein !
4083 fais attention                 ouh fais attention hein !
4083 attention hein                 ouh fais attention hein !
4086 généralement euh             les voit généralement euh .
4089 alors attends                  alors attends , on recommence du
4089 directement au                 est passé directement au crocodile
4089 mais y                         au crocodile mais y en
4090 alors attends                  alors attends , tu vois après
4090 vois après                    , tu vois après !
4091 alors une                      alors une grenouille qui avait une
4091 avait une                      grenouille qui avait une grande
4102 attends après                 attends après moi j(e) voudrais voir
4106 et après                      et après ?
4108 hein oh                        hein oh regarde elle a plouf
4112 aller hop                      aller hop !
4114 fait une                       , elle fait une toute
4120 aller hop                      aller hop !
4134 et ensuite                     et ensuite l' oiseau bleu !
4139 aller amène                   aller amène zyljet .
4154 promenaient à                 coccinelles se promenaient à la
4156 jouaient à                    petites coccinelles jouaient à saute
4161 allez hop                      allez hop et là il en
4169 as écrasé                    tu m' as écrasé les doigts
4173 non attends                    non attends regarde , regarde ,
4182 souris ouais                   une souris ouais ou un p(e)tit
4182 ouais ou                       une souris ouais ou un p(e)tit
4187 prend un                       &li en prend un autre
4190 et ensuite                     et ensuite , wa !
4207 et on                          et on referme !
4213 rien hein                      dit plus rien hein ?
4216 non anaïs                     non anaïs pas ceux du haut
4219 jouets aussi                   am(e)ner les jouets aussi .
4234 allez elle                     allez elle s' en va !
4237 p(e)tit heuh                   le gentil p(e)tit heuh rat
4237 rat et                         p(e)tit heuh rat et là
4241 fait un                        elle fait un clin d' oeil
4243 et on                          et on referme .
4250 toujours en                    c' est toujours en italien
4251 veux amener                    si tu veux amener toute
